inputa[12]	inputb[12]	operation[3]	aluout[12]	overflow	carry	zero	
000000000001	000000000100	000	000000000000	0	0	1
000000000010	000000000100	000	000000000000	0	0	1
000000000011	000000000100	000	000000000000	0	0	1
000000000100	000000000100	000	000000000100	0	0	0
000000000101	000000000100	000	000000000100	0	0	0
000000000110	000000000100	000	000000000100	0	0	0
000000000111	000000000100	000	000000000100	0	0	0
111111111000	000000000100	000	000000000000	0	0	1
111111111001	000000000100	000	000000000000	0	0	1
111111111010	000000000100	000	000000000000	0	0	1
111111111011	000000000100	000	000000000000	0	0	1
111111111100	000000000100	000	000000000100	0	0	0
111111111101	000000000100	000	000000000100	0	0	0
111111111110	000000000100	000	000000000100	0	0	0
111111111111	000000000100	000	000000000100	0	0	0
000000000000	000000000101	000	000000000000	0	0	1
000000000001	000000000101	000	000000000001	0	0	0
000000000010	000000000101	000	000000000000	0	0	1
000000000011	000000000101	000	000000000001	0	0	0
000000000100	000000000101	000	000000000100	0	0	0
000000000101	000000000101	000	000000000101	0	0	0
000000000110	000000000101	000	000000000100	0	0	0
000000000111	000000000101	000	000000000101	0	0	0
111111111000	000000000101	000	000000000000	0	0	1
111111111001	000000000101	000	000000000001	0	0	0
111111111010	000000000101	000	000000000000	0	0	1
111111111011	000000000101	000	000000000001	0	0	0
111111111100	000000000101	000	000000000100	0	0	0
111111111101	000000000101	000	000000000101	0	0	0
111111111110	000000000101	000	000000000100	0	0	0
111111111111	000000000101	000	000000000101	0	0	0
000000000000	000000000110	000	000000000000	0	0	1
000000000001	000000000110	000	000000000000	0	0	1
000000000010	000000000110	000	000000000010	0	0	0
000000000011	000000000110	000	000000000010	0	0	0
000000000100	000000000110	000	000000000100	0	0	0
000000000101	000000000110	000	000000000100	0	0	0
000000000110	000000000110	000	000000000110	0	0	0
000000000111	000000000110	000	000000000110	0	0	0
111111111000	000000000110	000	000000000000	0	0	1
111111111001	000000000110	000	000000000000	0	0	1
111111111010	000000000110	000	000000000010	0	0	0
111111111011	000000000110	000	000000000010	0	0	0
111111111100	000000000110	000	000000000100	0	0	0
111111111101	000000000110	000	000000000100	0	0	0
111111111110	000000000110	000	000000000110	0	0	0
111111111111	000000000110	000	000000000110	0	0	0
000000000000	000000000111	000	000000000000	0	0	1
000000000001	000000000111	000	000000000001	0	0	0
000000000010	000000000111	000	000000000010	0	0	0
000000000011	000000000111	000	000000000011	0	0	0
000000000100	000000000111	000	000000000100	0	0	0
000000000101	000000000111	000	000000000101	0	0	0
000000000110	000000000111	000	000000000110	0	0	0
000000000111	000000000111	000	000000000111	0	0	0
111111111000	000000000111	000	000000000000	0	0	1
111111111001	000000000111	000	000000000001	0	0	0
111111111010	000000000111	000	000000000010	0	0	0
111111111011	000000000111	000	000000000011	0	0	0
111111111100	000000000111	000	000000000100	0	0	0
111111111101	000000000111	000	000000000101	0	0	0
111111111110	000000000111	000	000000000110	0	0	0
111111111111	000000000111	000	000000000111	0	0	0
000000000000	111111111000	000	000000000000	0	0	1
000000000001	111111111000	000	000000000000	0	0	1
000000000010	111111111000	000	000000000000	0	0	1
000000000011	111111111000	000	000000000000	0	0	1
000000000100	111111111000	000	000000000000	0	0	1
000000000101	111111111000	000	000000000000	0	0	1
000000000110	111111111000	000	000000000000	0	0	1
000000000111	111111111000	000	000000000000	0	0	1
111111111000	111111111000	000	111111111000	0	0	0
111111111001	111111111000	000	111111111000	0	0	0
111111111010	111111111000	000	111111111000	0	0	0
111111111011	111111111000	000	111111111000	0	0	0
111111111100	111111111000	000	111111111000	0	0	0
111111111101	111111111000	000	111111111000	0	0	0
111111111110	111111111000	000	111111111000	0	0	0
111111111111	111111111000	000	111111111000	0	0	0
000000000000	111111111001	000	000000000000	0	0	1
000000000001	111111111001	000	000000000001	0	0	0
000000000010	111111111001	000	000000000000	0	0	1
000000000011	111111111001	000	000000000001	0	0	0
000000000100	111111111001	000	000000000000	0	0	1
000000000101	111111111001	000	000000000001	0	0	0
000000000110	111111111001	000	000000000000	0	0	1
000000000111	111111111001	000	000000000001	0	0	0
111111111000	111111111001	000	111111111000	0	0	0
111111111001	111111111001	000	111111111001	0	0	0
111111111010	111111111001	000	111111111000	0	0	0
111111111011	111111111001	000	111111111001	0	0	0
111111111100	111111111001	000	111111111000	0	0	0
111111111101	111111111001	000	111111111001	0	0	0
111111111110	111111111001	000	111111111000	0	0	0
111111111111	111111111001	000	111111111001	0	0	0
000000000000	111111111010	000	000000000000	0	0	1
000000000001	111111111010	000	000000000000	0	0	1
000000000010	111111111010	000	000000000010	0	0	0
000000000011	111111111010	000	000000000010	0	0	0
000000000100	111111111010	000	000000000000	0	0	1
000000000101	111111111010	000	000000000000	0	0	1
000000000110	111111111010	000	000000000010	0	0	0
000000000111	111111111010	000	000000000010	0	0	0
111111111000	111111111010	000	111111111000	0	0	0
111111111001	111111111010	000	111111111000	0	0	0
111111111010	111111111010	000	111111111010	0	0	0
111111111011	111111111010	000	111111111010	0	0	0
111111111100	111111111010	000	111111111000	0	0	0
111111111101	111111111010	000	111111111000	0	0	0
111111111110	111111111010	000	111111111010	0	0	0
111111111111	111111111010	000	111111111010	0	0	0
000000000000	111111111011	000	000000000000	0	0	1
000000000001	111111111011	000	000000000001	0	0	0
000000000010	111111111011	000	000000000010	0	0	0
000000000011	111111111011	000	000000000011	0	0	0
000000000100	111111111011	000	000000000000	0	0	1
000000000101	111111111011	000	000000000001	0	0	0
000000000110	111111111011	000	000000000010	0	0	0
000000000111	111111111011	000	000000000011	0	0	0
111111111000	111111111011	000	111111111000	0	0	0
111111111001	111111111011	000	111111111001	0	0	0
111111111010	111111111011	000	111111111010	0	0	0
111111111011	111111111011	000	111111111011	0	0	0
111111111100	111111111011	000	111111111000	0	0	0
111111111101	111111111011	000	111111111001	0	0	0
111111111110	111111111011	000	111111111010	0	0	0
111111111111	111111111011	000	111111111011	0	0	0
000000000000	111111111100	000	000000000000	0	0	1
000000000001	111111111100	000	000000000000	0	0	1
000000000010	111111111100	000	000000000000	0	0	1
000000000011	111111111100	000	000000000000	0	0	1
000000000100	111111111100	000	000000000100	0	0	0
000000000101	111111111100	000	000000000100	0	0	0
000000000110	111111111100	000	000000000100	0	0	0
000000000111	111111111100	000	000000000100	0	0	0
111111111000	111111111100	000	111111111000	0	0	0
111111111001	111111111100	000	111111111000	0	0	0
111111111010	111111111100	000	111111111000	0	0	0
111111111011	111111111100	000	111111111000	0	0	0
111111111100	111111111100	000	111111111100	0	0	0
111111111101	111111111100	000	111111111100	0	0	0
111111111110	111111111100	000	111111111100	0	0	0
111111111111	111111111100	000	111111111100	0	0	0
000000000000	111111111101	000	000000000000	0	0	1
000000000001	111111111101	000	000000000001	0	0	0
000000000010	111111111101	000	000000000000	0	0	1
000000000011	111111111101	000	000000000001	0	0	0
000000000100	111111111101	000	000000000100	0	0	0
000000000101	111111111101	000	000000000101	0	0	0
000000000110	111111111101	000	000000000100	0	0	0
000000000111	111111111101	000	000000000101	0	0	0
111111111000	111111111101	000	111111111000	0	0	0
111111111001	111111111101	000	111111111001	0	0	0
111111111010	111111111101	000	111111111000	0	0	0
111111111011	111111111101	000	111111111001	0	0	0
111111111100	111111111101	000	111111111100	0	0	0
111111111101	111111111101	000	111111111101	0	0	0
111111111110	111111111101	000	111111111100	0	0	0
111111111111	111111111101	000	111111111101	0	0	0
000000000000	111111111110	000	000000000000	0	0	1
000000000001	111111111110	000	000000000000	0	0	1
000000000010	111111111110	000	000000000010	0	0	0
000000000011	111111111110	000	000000000010	0	0	0
000000000100	111111111110	000	000000000100	0	0	0
000000000101	111111111110	000	000000000100	0	0	0
000000000110	111111111110	000	000000000110	0	0	0
000000000111	111111111110	000	000000000110	0	0	0
111111111000	111111111110	000	111111111000	0	0	0
111111111001	111111111110	000	111111111000	0	0	0
111111111010	111111111110	000	111111111010	0	0	0
111111111011	111111111110	000	111111111010	0	0	0
111111111100	111111111110	000	111111111100	0	0	0
111111111101	111111111110	000	111111111100	0	0	0
111111111110	111111111110	000	111111111110	0	0	0
111111111111	111111111110	000	111111111110	0	0	0
000000000000	111111111111	000	000000000000	0	0	1
000000000001	111111111111	000	000000000001	0	0	0
000000000010	111111111111	000	000000000010	0	0	0
000000000011	111111111111	000	000000000011	0	0	0
000000000100	111111111111	000	000000000100	0	0	0
000000000101	111111111111	000	000000000101	0	0	0
000000000110	111111111111	000	000000000110	0	0	0
000000000111	111111111111	000	000000000111	0	0	0
111111111000	111111111111	000	111111111000	0	0	0
111111111001	111111111111	000	111111111001	0	0	0
111111111010	111111111111	000	111111111010	0	0	0
111111111011	111111111111	000	111111111011	0	0	0
111111111100	111111111111	000	111111111100	0	0	0
111111111101	111111111111	000	111111111101	0	0	0
111111111110	111111111111	000	111111111110	0	0	0
111111111111	111111111111	000	111111111111	0	0	0
000000000000	000000000000	001	000000000000	0	0	1
000000000001	000000000000	001	000000000001	0	0	0
000000000010	000000000000	001	000000000010	0	0	0
000000000011	000000000000	001	000000000011	0	0	0
000000000100	000000000000	001	000000000100	0	0	0
000000000101	000000000000	001	000000000101	0	0	0
000000000110	000000000000	001	000000000110	0	0	0
000000000111	000000000000	001	000000000111	0	0	0
111111111000	000000000000	001	111111111000	0	0	0
111111111001	000000000000	001	111111111001	0	0	0
111111111010	000000000000	001	111111111010	0	0	0
111111111011	000000000000	001	111111111011	0	0	0
111111111100	000000000000	001	111111111100	0	0	0
111111111101	000000000000	001	111111111101	0	0	0
111111111110	000000000000	001	111111111110	0	0	0
111111111111	000000000000	001	111111111111	0	0	0
000000000000	000000000001	001	000000000001	0	0	0
000000000001	000000000001	001	000000000001	0	0	0
000000000010	000000000001	001	000000000011	0	0	0
000000000011	000000000001	001	000000000011	0	0	0
000000000100	000000000001	001	000000000101	0	0	0
000000000101	000000000001	001	000000000101	0	0	0
000000000110	000000000001	001	000000000111	0	0	0
000000000111	000000000001	001	000000000111	0	0	0
111111111000	000000000001	001	111111111001	0	0	0
111111111001	000000000001	001	111111111001	0	0	0
111111111010	000000000001	001	111111111011	0	0	0
111111111011	000000000001	001	111111111011	0	0	0
111111111100	000000000001	001	111111111101	0	0	0
111111111101	000000000001	001	111111111101	0	0	0
111111111110	000000000001	001	111111111111	0	0	0
111111111111	000000000001	001	111111111111	0	0	0
000000000000	000000000010	001	000000000010	0	0	0
000000000001	000000000010	001	000000000011	0	0	0
000000000010	000000000010	001	000000000010	0	0	0
000000000011	000000000010	001	000000000011	0	0	0
000000000100	000000000010	001	000000000110	0	0	0
000000000101	000000000010	001	000000000111	0	0	0
000000000110	000000000010	001	000000000110	0	0	0
000000000111	000000000010	001	000000000111	0	0	0
111111111000	000000000010	001	111111111010	0	0	0
111111111001	000000000010	001	111111111011	0	0	0
111111111010	000000000010	001	111111111010	0	0	0
111111111011	000000000010	001	111111111011	0	0	0
111111111100	000000000010	001	111111111110	0	0	0
111111111101	000000000010	001	111111111111	0	0	0
111111111110	000000000010	001	111111111110	0	0	0
111111111111	000000000010	001	111111111111	0	0	0
000000000000	000000000011	001	000000000011	0	0	0
000000000001	000000000011	001	000000000011	0	0	0
000000000010	000000000011	001	000000000011	0	0	0
000000000011	000000000011	001	000000000011	0	0	0
000000000100	000000000011	001	000000000111	0	0	0
000000000101	000000000011	001	000000000111	0	0	0
000000000110	000000000011	001	000000000111	0	0	0
000000000111	000000000011	001	000000000111	0	0	0
111111111000	000000000011	001	111111111011	0	0	0
111111111001	000000000011	001	111111111011	0	0	0
111111111010	000000000011	001	111111111011	0	0	0
111111111011	000000000011	001	111111111011	0	0	0
111111111100	000000000011	001	111111111111	0	0	0
111111111101	000000000011	001	111111111111	0	0	0
111111111110	000000000011	001	111111111111	0	0	0
111111111111	000000000011	001	111111111111	0	0	0
000000000000	000000000100	001	000000000100	0	0	0
000000000001	000000000100	001	000000000101	0	0	0
000000000010	000000000100	001	000000000110	0	0	0
000000000011	000000000100	001	000000000111	0	0	0
000000000100	000000000100	001	000000000100	0	0	0
000000000101	000000000100	001	000000000101	0	0	0
000000000110	000000000100	001	000000000110	0	0	0
000000000111	000000000100	001	000000000111	0	0	0
111111111000	000000000100	001	111111111100	0	0	0
111111111001	000000000100	001	111111111101	0	0	0
111111111010	000000000100	001	111111111110	0	0	0
111111111011	000000000100	001	111111111111	0	0	0
111111111100	000000000100	001	111111111100	0	0	0
111111111101	000000000100	001	111111111101	0	0	0
111111111110	000000000100	001	111111111110	0	0	0
111111111111	000000000100	001	111111111111	0	0	0
000000000000	000000000101	001	000000000101	0	0	0
000000000001	000000000101	001	000000000101	0	0	0
000000000010	000000000101	001	000000000111	0	0	0
000000000011	000000000101	001	000000000111	0	0	0
000000000100	000000000101	001	000000000101	0	0	0
000000000101	000000000101	001	000000000101	0	0	0
000000000110	000000000101	001	000000000111	0	0	0
000000000111	000000000101	001	000000000111	0	0	0
111111111000	000000000101	001	111111111101	0	0	0
111111111001	000000000101	001	111111111101	0	0	0
111111111010	000000000101	001	111111111111	0	0	0
111111111011	000000000101	001	111111111111	0	0	0
111111111100	000000000101	001	111111111101	0	0	0
111111111101	000000000101	001	111111111101	0	0	0
111111111110	000000000101	001	111111111111	0	0	0
111111111111	000000000101	001	111111111111	0	0	0
000000000000	000000000110	001	000000000110	0	0	0
000000000001	000000000110	001	000000000111	0	0	0
000000000010	000000000110	001	000000000110	0	0	0
000000000011	000000000110	001	000000000111	0	0	0
000000000100	000000000110	001	000000000110	0	0	0
000000000101	000000000110	001	000000000111	0	0	0
000000000110	000000000110	001	000000000110	0	0	0
000000000111	000000000110	001	000000000111	0	0	0
111111111000	000000000110	001	111111111110	0	0	0
111111111001	000000000110	001	111111111111	0	0	0
111111111010	000000000110	001	111111111110	0	0	0
111111111011	000000000110	001	111111111111	0	0	0
111111111100	000000000110	001	111111111110	0	0	0
111111111101	000000000110	001	111111111111	0	0	0
111111111110	000000000110	001	111111111110	0	0	0
111111111111	000000000110	001	111111111111	0	0	0
000000000000	000000000111	001	000000000111	0	0	0
000000000001	000000000111	001	000000000111	0	0	0
000000000010	000000000111	001	000000000111	0	0	0
000000000011	000000000111	001	000000000111	0	0	0
000000000100	000000000111	001	000000000111	0	0	0
000000000101	000000000111	001	000000000111	0	0	0
000000000110	000000000111	001	000000000111	0	0	0
000000000111	000000000111	001	000000000111	0	0	0
111111111000	000000000111	001	111111111111	0	0	0
111111111001	000000000111	001	111111111111	0	0	0
111111111010	000000000111	001	111111111111	0	0	0
111111111011	000000000111	001	111111111111	0	0	0
111111111100	000000000111	001	111111111111	0	0	0
111111111101	000000000111	001	111111111111	0	0	0
111111111110	000000000111	001	111111111111	0	0	0
111111111111	000000000111	001	111111111111	0	0	0
000000000000	111111111000	001	111111111000	0	0	0
000000000001	111111111000	001	111111111001	0	0	0
000000000010	111111111000	001	111111111010	0	0	0
000000000011	111111111000	001	111111111011	0	0	0
000000000100	111111111000	001	111111111100	0	0	0
000000000101	111111111000	001	111111111101	0	0	0
000000000110	111111111000	001	111111111110	0	0	0
000000000111	111111111000	001	111111111111	0	0	0
111111111000	111111111000	001	111111111000	0	0	0
111111111001	111111111000	001	111111111001	0	0	0
111111111010	111111111000	001	111111111010	0	0	0
111111111011	111111111000	001	111111111011	0	0	0
111111111100	111111111000	001	111111111100	0	0	0
111111111101	111111111000	001	111111111101	0	0	0
111111111110	111111111000	001	111111111110	0	0	0
111111111111	111111111000	001	111111111111	0	0	0
000000000000	111111111001	001	111111111001	0	0	0
000000000001	111111111001	001	111111111001	0	0	0
000000000010	111111111001	001	111111111011	0	0	0
000000000011	111111111001	001	111111111011	0	0	0
000000000100	111111111001	001	111111111101	0	0	0
000000000101	111111111001	001	111111111101	0	0	0
000000000110	111111111001	001	111111111111	0	0	0
000000000111	111111111001	001	111111111111	0	0	0
111111111000	111111111001	001	111111111001	0	0	0
111111111001	111111111001	001	111111111001	0	0	0
111111111010	111111111001	001	111111111011	0	0	0
111111111011	111111111001	001	111111111011	0	0	0
111111111100	111111111001	001	111111111101	0	0	0
111111111101	111111111001	001	111111111101	0	0	0
111111111110	111111111001	001	111111111111	0	0	0
111111111111	111111111001	001	111111111111	0	0	0
000000000000	111111111010	001	111111111010	0	0	0
000000000001	111111111010	001	111111111011	0	0	0
000000000010	111111111010	001	111111111010	0	0	0
000000000011	111111111010	001	111111111011	0	0	0
000000000100	111111111010	001	111111111110	0	0	0
000000000101	111111111010	001	111111111111	0	0	0
000000000110	111111111010	001	111111111110	0	0	0
000000000111	111111111010	001	111111111111	0	0	0
111111111000	111111111010	001	111111111010	0	0	0
111111111001	111111111010	001	111111111011	0	0	0
111111111010	111111111010	001	111111111010	0	0	0
111111111011	111111111010	001	111111111011	0	0	0
111111111100	111111111010	001	111111111110	0	0	0
111111111101	111111111010	001	111111111111	0	0	0
111111111110	111111111010	001	111111111110	0	0	0
111111111111	111111111010	001	111111111111	0	0	0
000000000000	111111111011	001	111111111011	0	0	0
000000000001	111111111011	001	111111111011	0	0	0
000000000010	111111111011	001	111111111011	0	0	0
000000000011	111111111011	001	111111111011	0	0	0
000000000100	111111111011	001	111111111111	0	0	0
000000000101	111111111011	001	111111111111	0	0	0
000000000110	111111111011	001	111111111111	0	0	0
000000000111	111111111011	001	111111111111	0	0	0
111111111000	111111111011	001	111111111011	0	0	0
111111111001	111111111011	001	111111111011	0	0	0
111111111010	111111111011	001	111111111011	0	0	0
111111111011	111111111011	001	111111111011	0	0	0
111111111100	111111111011	001	111111111111	0	0	0
111111111101	111111111011	001	111111111111	0	0	0
111111111110	111111111011	001	111111111111	0	0	0
111111111111	111111111011	001	111111111111	0	0	0
000000000000	111111111100	001	111111111100	0	0	0
000000000001	111111111100	001	111111111101	0	0	0
000000000010	111111111100	001	111111111110	0	0	0
000000000011	111111111100	001	111111111111	0	0	0
000000000100	111111111100	001	111111111100	0	0	0
000000000101	111111111100	001	111111111101	0	0	0
000000000110	111111111100	001	111111111110	0	0	0
000000000111	111111111100	001	111111111111	0	0	0
111111111000	111111111100	001	111111111100	0	0	0
111111111001	111111111100	001	111111111101	0	0	0
111111111010	111111111100	001	111111111110	0	0	0
111111111011	111111111100	001	111111111111	0	0	0
111111111100	111111111100	001	111111111100	0	0	0
111111111101	111111111100	001	111111111101	0	0	0
111111111110	111111111100	001	111111111110	0	0	0
111111111111	111111111100	001	111111111111	0	0	0
000000000000	111111111101	001	111111111101	0	0	0
000000000001	111111111101	001	111111111101	0	0	0
000000000010	111111111101	001	111111111111	0	0	0
000000000011	111111111101	001	111111111111	0	0	0
000000000100	111111111101	001	111111111101	0	0	0
000000000101	111111111101	001	111111111101	0	0	0
000000000110	111111111101	001	111111111111	0	0	0
000000000111	111111111101	001	111111111111	0	0	0
111111111000	111111111101	001	111111111101	0	0	0
111111111001	111111111101	001	111111111101	0	0	0
111111111010	111111111101	001	111111111111	0	0	0
111111111011	111111111101	001	111111111111	0	0	0
111111111100	111111111101	001	111111111101	0	0	0
111111111101	111111111101	001	111111111101	0	0	0
111111111110	111111111101	001	111111111111	0	0	0
111111111111	111111111101	001	111111111111	0	0	0
000000000000	111111111110	001	111111111110	0	0	0
000000000001	111111111110	001	111111111111	0	0	0
000000000010	111111111110	001	111111111110	0	0	0
000000000011	111111111110	001	111111111111	0	0	0
000000000100	111111111110	001	111111111110	0	0	0
000000000101	111111111110	001	111111111111	0	0	0
000000000110	111111111110	001	111111111110	0	0	0
000000000111	111111111110	001	111111111111	0	0	0
111111111000	111111111110	001	111111111110	0	0	0
111111111001	111111111110	001	111111111111	0	0	0
111111111010	111111111110	001	111111111110	0	0	0
111111111011	111111111110	001	111111111111	0	0	0
111111111100	111111111110	001	111111111110	0	0	0
111111111101	111111111110	001	111111111111	0	0	0
111111111110	111111111110	001	111111111110	0	0	0
111111111111	111111111110	001	111111111111	0	0	0
000000000000	111111111111	001	111111111111	0	0	0
000000000001	111111111111	001	111111111111	0	0	0
000000000010	111111111111	001	111111111111	0	0	0
000000000011	111111111111	001	111111111111	0	0	0
000000000100	111111111111	001	111111111111	0	0	0
000000000101	111111111111	001	111111111111	0	0	0
000000000110	111111111111	001	111111111111	0	0	0
000000000111	111111111111	001	111111111111	0	0	0
111111111000	111111111111	001	111111111111	0	0	0
111111111001	111111111111	001	111111111111	0	0	0
111111111010	111111111111	001	111111111111	0	0	0
111111111011	111111111111	001	111111111111	0	0	0
111111111100	111111111111	001	111111111111	0	0	0
111111111101	111111111111	001	111111111111	0	0	0
111111111110	111111111111	001	111111111111	0	0	0
111111111111	111111111111	001	111111111111	0	0	0
000000000000	000000000000	010	000000000000	0	0	1
000000000001	000000000000	010	000000000001	0	0	0
000000000010	000000000000	010	000000000010	0	0	0
000000000011	000000000000	010	000000000011	0	0	0
000000000100	000000000000	010	000000000100	0	0	0
000000000101	000000000000	010	000000000101	0	0	0
000000000110	000000000000	010	000000000110	0	0	0
000000000111	000000000000	010	000000000111	0	0	0
111111111000	000000000000	010	111111111000	0	0	0
111111111001	000000000000	010	111111111001	0	0	0
111111111010	000000000000	010	111111111010	0	0	0
111111111011	000000000000	010	111111111011	0	0	0
111111111100	000000000000	010	111111111100	0	0	0
111111111101	000000000000	010	111111111101	0	0	0
111111111110	000000000000	010	111111111110	0	0	0
111111111111	000000000000	010	111111111111	0	0	0
000000000000	000000000001	010	000000000001	0	0	0
000000000001	000000000001	010	000000000000	0	0	1
000000000010	000000000001	010	000000000011	0	0	0
000000000011	000000000001	010	000000000010	0	0	0
000000000100	000000000001	010	000000000101	0	0	0
000000000101	000000000001	010	000000000100	0	0	0
000000000110	000000000001	010	000000000111	0	0	0
000000000111	000000000001	010	000000000110	0	0	0
111111111000	000000000001	010	111111111001	0	0	0
111111111001	000000000001	010	111111111000	0	0	0
111111111010	000000000001	010	111111111011	0	0	0
111111111011	000000000001	010	111111111010	0	0	0
111111111100	000000000001	010	111111111101	0	0	0
111111111101	000000000001	010	111111111100	0	0	0
111111111110	000000000001	010	111111111111	0	0	0
111111111111	000000000001	010	111111111110	0	0	0
000000000000	000000000010	010	000000000010	0	0	0
000000000001	000000000010	010	000000000011	0	0	0
000000000010	000000000010	010	000000000000	0	0	1
000000000011	000000000010	010	000000000001	0	0	0
000000000100	000000000010	010	000000000110	0	0	0
000000000101	000000000010	010	000000000111	0	0	0
000000000110	000000000010	010	000000000100	0	0	0
000000000111	000000000010	010	000000000101	0	0	0
111111111000	000000000010	010	111111111010	0	0	0
111111111001	000000000010	010	111111111011	0	0	0
111111111010	000000000010	010	111111111000	0	0	0
111111111011	000000000010	010	111111111001	0	0	0
111111111100	000000000010	010	111111111110	0	0	0
111111111101	000000000010	010	111111111111	0	0	0
111111111110	000000000010	010	111111111100	0	0	0
111111111111	000000000010	010	111111111101	0	0	0
000000000000	000000000011	010	000000000011	0	0	0
000000000001	000000000011	010	000000000010	0	0	0
000000000010	000000000011	010	000000000001	0	0	0
000000000011	000000000011	010	000000000000	0	0	1
000000000100	000000000011	010	000000000111	0	0	0
000000000101	000000000011	010	000000000110	0	0	0
000000000110	000000000011	010	000000000101	0	0	0
000000000111	000000000011	010	000000000100	0	0	0
111111111000	000000000011	010	111111111011	0	0	0
111111111001	000000000011	010	111111111010	0	0	0
111111111010	000000000011	010	111111111001	0	0	0
111111111011	000000000011	010	111111111000	0	0	0
111111111100	000000000011	010	111111111111	0	0	0
111111111101	000000000011	010	111111111110	0	0	0
111111111110	000000000011	010	111111111101	0	0	0
111111111111	000000000011	010	111111111100	0	0	0
000000000000	000000000100	010	000000000100	0	0	0
000000000001	000000000100	010	000000000101	0	0	0
000000000010	000000000100	010	000000000110	0	0	0
000000000011	000000000100	010	000000000111	0	0	0
000000000100	000000000100	010	000000000000	0	0	1
000000000101	000000000100	010	000000000001	0	0	0
000000000110	000000000100	010	000000000010	0	0	0
000000000111	000000000100	010	000000000011	0	0	0
111111111000	000000000100	010	111111111100	0	0	0
111111111001	000000000100	010	111111111101	0	0	0
111111111010	000000000100	010	111111111110	0	0	0
111111111011	000000000100	010	111111111111	0	0	0
111111111100	000000000100	010	111111111000	0	0	0
111111111101	000000000100	010	111111111001	0	0	0
111111111110	000000000100	010	111111111010	0	0	0
111111111111	000000000100	010	111111111011	0	0	0
000000000000	000000000101	010	000000000101	0	0	0
000000000001	000000000101	010	000000000100	0	0	0
000000000010	000000000101	010	000000000111	0	0	0
000000000011	000000000101	010	000000000110	0	0	0
000000000100	000000000101	010	000000000001	0	0	0
000000000101	000000000101	010	000000000000	0	0	1
000000000110	000000000101	010	000000000011	0	0	0
000000000111	000000000101	010	000000000010	0	0	0
111111111000	000000000101	010	111111111101	0	0	0
111111111001	000000000101	010	111111111100	0	0	0
111111111010	000000000101	010	111111111111	0	0	0
111111111011	000000000101	010	111111111110	0	0	0
111111111100	000000000101	010	111111111001	0	0	0
