"","instant","dteday","season","yr","mnth","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","registered","tot"
"19",19,"2011-01-19",1,0,1,0,3,1,2,5.732178,3.695852,0.741739,13.957239,78,1572,1650
"20",20,"2011-01-20",1,0,1,0,4,1,2,4.298349,0.833300000000001,0.538333,13.125568,83,1844,1927
"21",21,"2011-01-21",1,0,1,0,5,1,1,0.342499999999999,-5.583022,0.457083,23.667214,75,1468,1543
"22",22,"2011-01-22",1,0,1,0,6,0,1,-5.2208712,-10.7814064,0.4,11.52199,93,888,981
"23",23,"2011-01-23",1,0,1,0,0,0,1,-3.4634801,-9.4766194,0.436522,16.5222,150,836,986
"24",24,"2011-01-24",1,0,1,0,1,1,1,-3.4226089,-8.21662,0.491739,10.60811,86,1330,1416
"25",25,"2011-01-25",1,0,1,0,2,1,2,2.503466,-0.521284,0.616957,8.696332,186,1799,1985
"26",26,"2011-01-26",1,0,1,0,3,1,3,2.2225,-2.5624,0.8625,19.68795,34,472,506
"27",27,"2011-01-27",1,0,1,0,4,1,1,1.165,-1.4998,0.6875,7.627079,15,416,431
"28",28,"2011-01-28",1,0,1,0,5,1,2,1.563466,-1.261078,0.793043,8.2611,38,1129,1167
"29",29,"2011-01-29",1,0,1,0,6,0,1,1.236534,-1.999684,0.651739,9.739455,123,975,1098
"30",30,"2011-01-30",1,0,1,0,0,0,1,2.176534,0.521252,0.722174,4.9568342,140,956,1096
"31",31,"2011-01-31",1,0,1,0,1,1,2,0.499150999999999,-3.7075,0.60375,12.541864,42,1459,1501
"32",32,"2011-02-01",1,0,2,0,2,1,2,1.032178,-0.52102,0.829565,3.565271,47,1313,1360
"33",33,"2011-02-02",1,0,2,0,3,1,2,4.22,0.791522000000001,0.775417,17.708636,72,1454,1526
"34",34,"2011-02-03",1,0,2,0,4,1,1,0.786979000000001,-4.260052,0.437826,18.609384,61,1489,1550
"35",35,"2011-02-04",1,0,2,0,5,1,2,1.931288,-0.913257999999999,0.585217,8.565213,88,1620,1708
"36",36,"2011-02-05",1,0,2,0,6,0,2,2.966651,0.0418279999999989,0.929167,10.792293,100,905,1005
"37",37,"2011-02-06",1,0,2,0,0,0,1,5.434151,3.250286,0.568333,9.5006,354,1269,1623
"38",38,"2011-02-07",1,0,2,0,1,1,1,4.768349,4.041428,0.738333,3.0423561,120,1592,1712
"39",39,"2011-02-08",1,0,2,0,2,1,1,2.379151,-2.915764,0.537917,24.25065,64,1466,1530
"40",40,"2011-02-09",1,0,2,0,3,1,2,-1.665199,-6.477322,0.494783,12.652213,53,1552,1605
"41",41,"2011-02-10",1,0,2,0,4,1,1,-1.215644,-6.129832,0.437391,14.869645,47,1491,1538
"42",42,"2011-02-11",1,0,2,0,5,1,1,0.887277000000001,-1.908406,0.506364,7.27285,149,1597,1746
"43",43,"2011-02-12",1,0,2,0,6,0,1,2.4575,-0.625036,0.544167,13.625589,288,1184,1472
"44",44,"2011-02-13",1,0,2,0,0,0,1,6.876534,5.391458,0.457391,17.479161,397,1192,1589
"45",45,"2011-02-14",1,0,2,0,1,1,1,11.505,10.2911,0.375833,27.999836,208,1705,1913
"46",46,"2011-02-15",1,0,2,0,2,1,1,4.506089,0.782084000000001,0.314348,19.522058,140,1675,1815
"47",47,"2011-02-16",1,0,2,0,3,1,1,6.958267,4.8692,0.423478,16.869997,218,1897,2115
"48",48,"2011-02-17",1,0,2,0,4,1,1,12.484151,12.291428,0.505,15.416968,259,2216,2475
"49",49,"2011-02-18",1,0,2,0,5,1,1,16.518349,17.790878,0.516667,17.749975,579,2348,2927
"50",50,"2011-02-19",1,0,2,0,6,0,1,10.760849,9.832664,0.187917,34.000021,532,1103,1635
"51",51,"2011-02-20",1,0,2,0,0,0,1,5.405199,2.30378,0.407826,14.956745,639,1173,1812
"52",52,"2011-02-21",1,0,2,1,1,0,2,6.256651,2.74895,0.605,20.625682,195,912,1107
"53",53,"2011-02-22",1,0,2,0,2,1,1,0.564434,-3.721822,0.577778,13.110761,74,1376,1450
"54",54,"2011-02-23",1,0,2,0,3,1,1,2.421733,0.217321999999999,0.423043,6.305571,139,1778,1917
"55",55,"2011-02-24",1,0,2,0,4,1,2,5.895644,3.086606,0.697391,16.783232,100,1707,1807
"56",56,"2011-02-25",1,0,2,0,5,1,2,9.124356,7.130426,0.712174,23.218113,120,1341,1461
"57",57,"2011-02-26",1,0,2,0,6,0,1,5.2775,2.624672,0.537917,12.500257,424,1545,1969
"58",58,"2011-02-27",1,0,2,0,0,0,1,8.143466,7.173194,0.68,8.391616,694,1708,2402
"59",59,"2011-02-28",1,0,2,0,1,1,2,11.141831,10.407788,0.876364,19.408962,81,1365,1446
"60",60,"2011-03-01",1,0,3,0,2,1,1,4.533349,1.416014,0.535,14.500475,137,1714,1851
"61",61,"2011-03-02",1,0,3,0,3,1,1,7.745,5.124686,0.449583,20.624811,231,1903,2134
"62",62,"2011-03-03",1,0,3,0,4,1,1,1.321651,-2.791222,0.318333,15.125518,123,1562,1685
"63",63,"2011-03-04",1,0,3,0,5,1,2,4.298349,0.874814000000001,0.610417,13.624182,214,1730,1944
"64",64,"2011-03-05",1,0,3,0,6,0,2,10.055849,8.999414,0.789167,16.875357,640,1437,2077
"65",65,"2011-03-06",1,0,3,0,0,0,2,9.696534,8.172632,0.948261,23.000229,114,491,605
"66",66,"2011-03-07",1,0,3,0,1,1,1,4.301733,-0.261574,0.551304,22.870584,244,1628,1872
"67",67,"2011-03-08",1,0,3,0,2,1,1,5.7475,3.9584,0.420833,8.08355,316,1817,2133
"68",68,"2011-03-09",1,0,3,0,3,1,2,5.904151,2.916128,0.775417,14.75005,191,1700,1891
"69",69,"2011-03-10",1,0,3,0,4,1,3,10.287277,9.454088,0,17.545759,46,577,623
"70",70,"2011-03-11",1,0,3,0,5,1,2,6.876534,4.13,0.649565,15.60899,247,1730,1977
"71",71,"2011-03-12",1,0,3,0,6,0,1,7.470849,5.4995,0.594583,14.791925,724,1408,2132
"72",72,"2011-03-13",1,0,3,0,0,0,1,10.064356,9.086006,0.527391,18.130468,982,1435,2417
"73",73,"2011-03-14",1,0,3,0,1,1,1,7.285199,5.912,0.496957,9.174042,359,1687,2046
"74",74,"2011-03-15",1,0,3,0,2,1,2,6.917377,4.999748,0.655652,12.348703,289,1767,2056
"75",75,"2011-03-16",1,0,3,0,3,1,2,9.165199,8.21738,0.776522,13.608839,321,1871,2192
"76",76,"2011-03-17",1,0,3,0,4,1,1,11.505,11.081978,0.602917,14.041793,424,2320,2744
"77",77,"2011-03-18",1,0,3,0,5,1,1,17.38,18.782594,0.525217,15.478139,884,2355,3239
"78",78,"2011-03-19",1,0,3,0,6,0,1,14.2075,14.79065,0.379167,24.667189,1424,1693,3117
"79",79,"2011-03-20",1,0,3,0,0,0,1,7.6275,5.4995,0.47375,13.917307,1047,1424,2471
"80",80,"2011-03-21",2,0,3,0,1,1,2,12.230445,11.04251,0.737391,19.348461,401,1676,2077
"81",81,"2011-03-22",2,0,3,0,2,1,1,12.758349,13.082372,0.624583,15.12525,460,2243,2703
"82",82,"2011-03-23",2,0,3,0,3,1,2,8.306979,6.303974,0.839565,15.695487,203,1918,2121
"83",83,"2011-03-24",2,0,3,0,4,1,2,5.395,1.874978,0.805833,16.333729,166,1699,1865
"84",84,"2011-03-25",2,0,3,0,5,1,1,4.415849,0.916591999999998,0.495,15.458575,300,1910,2210
"85",85,"2011-03-26",2,0,3,0,6,0,1,4.494151,0.999686000000001,0.394167,14.041257,981,1515,2496
"86",86,"2011-03-27",2,0,3,0,0,0,2,3.893021,0.522373999999999,0.493913,12.3481,472,1221,1693
"87",87,"2011-03-28",2,0,3,0,1,1,1,4.424356,0.999884000000002,0.302174,14.217668,222,1806,2028
"88",88,"2011-03-29",2,0,3,0,2,1,1,6.2175,3.331928,0.314167,15.208732,317,2108,2425
"89",89,"2011-03-30",2,0,3,0,3,1,2,6.1,3.6251,0.646667,11.583496,168,1368,1536
"90",90,"2011-03-31",2,0,3,0,4,1,3,4.611651,0.999949999999998,0.918333,14.582282,179,1506,1685
"91",91,"2011-04-01",2,0,4,0,5,1,2,6.1,2.707964,0.68625,17.333436,307,1920,2227
"92",92,"2011-04-02",2,0,4,0,6,0,2,6.805,4.832042,0.65375,13.208782,898,1354,2252
"93",93,"2011-04-03",2,0,4,0,0,0,1,9.781651,8.998622,0.48,12.208271,1651,1598,3249
"94",94,"2011-04-04",2,0,4,0,1,1,1,18.946651,19.833314,0.42625,25.833257,734,2381,3115
"95",95,"2011-04-05",2,0,4,0,2,1,2,11.465849,10.2911,0.642083,26.000489,167,1628,1795
"96",96,"2011-04-06",2,0,4,0,3,1,1,10.369151,9.582128,0.470833,17.625221,413,2395,2808
"97",97,"2011-04-07",2,0,4,0,4,1,1,12.5625,12.623936,0.602917,10.874904,571,2570,3141
"98",98,"2011-04-08",2,0,4,0,5,1,2,7.784151,5.415614,0.83625,15.208464,172,1299,1471
"99",99,"2011-04-09",2,0,4,0,6,0,2,8.0975,6.540914,0.8775,8.916561,879,1576,2455
"100",100,"2011-04-10",2,0,4,0,0,0,2,12.053349,12.164642,0.8575,9.833389,1188,1707,2895
"101",101,"2011-04-11",2,0,4,0,1,1,2,19.995644,21.304322,0.716956,21.739758,855,2493,3348
"102",102,"2011-04-12",2,0,4,0,2,1,2,15.6175,16.541564,0.739167,18.416893,257,1777,2034
"103",103,"2011-04-13",2,0,4,0,3,1,2,11.3875,11.540678,0.819167,16.791339,209,1953,2162
"104",104,"2011-04-14",2,0,4,0,4,1,1,13.9725,14.540972,0.540417,7.4169,529,2738,3267
"105",105,"2011-04-15",2,0,4,1,5,0,1,12.993349,13.166258,0.67125,15.167125,642,2484,3126
"106",106,"2011-04-16",2,0,4,0,6,0,3,12.249151,12.082472,0.888333,22.834136,121,674,795
"107",107,"2011-04-17",2,0,4,0,0,0,1,13.463349,13.415936,0.479583,20.334232,1558,2186,3744
"108",108,"2011-04-18",2,0,4,0,1,1,1,16.0875,17.207636,0.5425,10.958989,669,2760,3429
"109",109,"2011-04-19",2,0,4,0,2,1,2,15.774151,16.291028,0.665833,10.584057,409,2795,3204
"110",110,"2011-04-20",2,0,4,0,3,1,1,19.965,21.249872,0.614167,16.208975,613,3331,3944
"111",111,"2011-04-21",2,0,4,0,4,1,1,13.580849,13.956872,0.407083,21.792286,745,3444,4189
"112",112,"2011-04-22",2,0,4,0,5,1,2,7.823349,5.248964,0.729583,14.707907,177,1506,1683
"113",113,"2011-04-23",2,0,4,0,6,0,2,13.62,13.707986,0.887917,15.458575,1462,2574,4036
"114",114,"2011-04-24",2,0,4,0,0,0,2,19.338349,20.416358,0.810833,12.875725,1710,2481,4191
"115",115,"2011-04-25",2,0,4,0,1,1,1,20.513349,21.917,0.776667,12.417311,773,3300,4073
"116",116,"2011-04-26",2,0,4,0,2,1,1,21.688349,23.209478,0.729167,21.8755,678,3722,4400
"117",117,"2011-04-27",2,0,4,0,3,1,2,21.14,21.959372,0.835417,20.9174,547,3325,3872
"118",118,"2011-04-28",2,0,4,0,4,1,2,21.0225,22.209314,0.700833,21.500836,569,3489,4058
"119",119,"2011-04-29",2,0,4,0,5,1,1,15.97,16.832558,0.457083,16.084221,878,3717,4595
"120",120,"2011-04-30",2,0,4,0,6,0,1,14.2075,14.625386,0.503333,15.750025,1965,3347,5312
"121",121,"2011-05-01",2,0,5,0,0,0,2,13.228349,13.581464,0.762083,7.125718,1138,2213,3351
"122",122,"2011-05-02",2,0,5,0,1,1,2,17.810849,19.166978,0.73,12.291418,847,3554,4401
"123",123,"2011-05-03",2,0,5,0,2,1,2,20.983349,22.417214,0.697083,22.958689,603,3848,4451
"124",124,"2011-05-04",2,0,5,0,3,1,2,11.465849,10.7069,0.737083,22.042732,255,2378,2633
"125",125,"2011-05-05",2,0,5,0,4,1,1,13.580849,13.166522,0.444167,19.791264,614,3819,4433
"126",126,"2011-05-06",2,0,5,0,5,1,1,14.520849,15.291722,0.59,15.292482,894,3714,4608
"127",127,"2011-05-07",2,0,5,0,6,0,1,16.44,17.832986,0.54125,10.75015,1612,3102,4714
"128",128,"2011-05-08",2,0,5,0,0,0,1,16.831651,18.249578,0.631667,5.0007125,1401,2932,4333
"129",129,"2011-05-09",2,0,5,0,1,1,1,17.0275,18.666236,0.58875,11.792,664,3698,4362
"130",130,"2011-05-10",2,0,5,0,2,1,1,17.0275,18.499586,0.489167,7.749957,694,4109,4803
"131",131,"2011-05-11",2,0,5,0,3,1,1,17.4975,18.8744,0.632917,8.083014,550,3632,4182
"132",132,"2011-05-12",2,0,5,0,4,1,1,17.145,18.541958,0.7475,12.707689,695,4169,4864
"133",133,"2011-05-13",2,0,5,0,5,1,2,16.0875,16.6238,0.863333,12.041575,692,3413,4105
"134",134,"2011-05-14",2,0,5,0,6,0,2,16.479151,17.041514,0.9225,9.04165,902,2507,3409
"135",135,"2011-05-15",2,0,5,0,0,0,2,18.4375,19.376,0.867083,10.249593,1582,2971,4553
"136",136,"2011-05-16",2,0,5,0,1,1,1,19.1425,20.333792,0.787917,8.500357,773,3185,3958
"137",137,"2011-05-17",2,0,5,0,2,1,2,18.398349,19.542914,0.837917,18.582718,678,3445,4123
"138",138,"2011-05-18",2,0,5,0,3,1,2,17.85,18.792428,0.87,13.499964,536,3319,3855
"139",139,"2011-05-19",2,0,5,0,4,1,2,16.949151,17.708972,0.829583,7.250271,735,3840,4575
"140",140,"2011-05-20",2,0,5,0,5,1,1,17.223349,18.916772,0.719583,8.375871,909,4008,4917
"141",141,"2011-05-21",2,0,5,0,6,0,1,20.3175,21.75035,0.626667,8.08355,2258,3547,5805
"142",142,"2011-05-22",2,0,5,0,0,0,1,20.395849,21.917,0.749583,9.916536,1576,3084,4660
"143",143,"2011-05-23",2,0,5,0,1,1,2,21.688349,22.959536,0.81,15.667414,836,3438,4274
"144",144,"2011-05-24",2,0,5,0,2,1,2,23.02,23.917658,0.740833,13.875164,659,3833,4492
"145",145,"2011-05-25",2,0,5,0,3,1,1,23.059151,24.625772,0.69625,10.333611,740,4238,4978
"146",146,"2011-05-26",2,0,5,0,4,1,1,25.291651,27.209408,0.6775,13.376014,758,3919,4677
"147",147,"2011-05-27",2,0,5,0,5,1,1,24.038349,26.042528,0.65375,16.125493,871,3808,4679
"148",148,"2011-05-28",2,0,5,0,6,0,1,22.824151,24.417014,0.729583,15.416164,2001,2757,4758
"149",149,"2011-05-29",2,0,5,0,0,0,1,23.3725,24.6263,0.81875,14.333846,2355,2433,4788
"150",150,"2011-05-30",2,0,5,1,1,0,1,26.466651,28.292072,0.685,8.792075,1549,2549,4098
"151",151,"2011-05-31",2,0,5,0,2,1,1,28.425,31.875278,0.636667,7.459043,673,3309,3982
"152",152,"2011-06-01",2,0,6,0,3,1,2,27.915849,31.583822,0.677083,13.875164,513,3461,3974
"153",153,"2011-06-02",2,0,6,0,4,1,1,25.605,26.500172,0.305,19.583229,736,4232,4968
"154",154,"2011-06-03",2,0,6,0,5,1,1,21.14,22.750778,0.354167,16.959107,898,4414,5312
"155",155,"2011-06-04",2,0,6,0,6,0,1,21.845,23.249936,0.45625,8.250514,1869,3473,5342
"156",156,"2011-06-05",2,0,6,0,0,0,2,22.471651,24.709064,0.6525,9.292364,1685,3221,4906
"157",157,"2011-06-06",2,0,6,0,1,1,1,23.881651,25.042628,0.6,8.167032,673,3875,4548
"158",158,"2011-06-07",2,0,6,0,2,1,1,25.2525,27.2927,0.597917,12.583136,763,4070,4833
"159",159,"2011-06-08",2,0,6,0,3,1,1,28.464151,32.000414,0.622083,9.166739,676,3725,4401
"160",160,"2011-06-09",2,0,6,0,4,1,2,29.991651,34.000214,0.568333,10.042161,563,3352,3915
"161",161,"2011-06-10",2,0,6,0,5,1,1,27.485,30.417272,0.605,9.417118,815,3771,4586
"162",162,"2011-06-11",2,0,6,0,6,0,1,26.075,28.750508,0.654583,10.37495,1729,3237,4966
"163",163,"2011-06-12",2,0,6,0,0,0,1,24.5475,26.45945,0.747917,10.958989,1467,2993,4460
"164",164,"2011-06-13",2,0,6,0,1,1,1,21.845,23.709164,0.494583,20.45845,863,4157,5020
"165",165,"2011-06-14",2,0,6,0,2,1,1,20.395849,23.042036,0.507083,18.041961,727,4164,4891
"166",166,"2011-06-15",2,0,6,0,3,1,1,21.453349,22.791764,0.471667,11.250104,769,4411,5180
"167",167,"2011-06-16",2,0,6,0,4,1,2,21.531651,23.292836,0.688333,13.833557,545,3222,3767
"168",168,"2011-06-17",2,0,6,0,5,1,1,22.510849,23.625278,0.735833,9.582943,863,3981,4844
"169",169,"2011-06-18",2,0,6,0,6,0,1,24.743349,26.500964,0.670417,8.000336,1807,3312,5119
"170",170,"2011-06-19",2,0,6,0,0,0,2,24.860849,26.625836,0.666667,6.834,1639,3105,4744
"171",171,"2011-06-20",2,0,6,0,1,1,2,21.845,23.292836,0.74625,10.416825,699,3311,4010
"172",172,"2011-06-21",3,0,6,0,2,1,2,23.999151,26.084636,0.770417,11.458675,774,4061,4835
"173",173,"2011-06-22",3,0,6,0,3,1,1,26.466651,29.792714,0.7075,11.541554,661,3846,4507
"174",174,"2011-06-23",3,0,6,0,4,1,2,26.231651,29.792978,0.703333,15.999868,746,4044,4790
"175",175,"2011-06-24",3,0,6,0,5,1,1,26.035849,27.334478,0.573333,14.875675,969,4022,4991
"176",176,"2011-06-25",3,0,6,0,6,0,1,24.665,26.458658,0.483333,14.041257,1782,3420,5202
"177",177,"2011-06-26",3,0,6,0,0,0,1,23.96,26.083514,0.513333,6.3337311,1920,3385,5305
"178",178,"2011-06-27",3,0,6,0,1,1,2,24.0775,26.042264,0.658333,7.208396,854,3854,4708
"179",179,"2011-06-28",3,0,6,0,2,1,1,26.975849,29.708828,0.634167,9.666961,732,3916,4648
"180",180,"2011-06-29",3,0,6,0,3,1,1,26.231651,27.209408,0.497917,17.542007,848,4377,5225
"181",181,"2011-06-30",3,0,6,0,4,1,1,24.743349,26.042528,0.434167,12.415904,1027,4488,5515
"182",182,"2011-07-01",3,0,7,0,5,1,1,25.9575,27.042692,0.39625,6.874736,1246,4116,5362
"183",183,"2011-07-02",3,0,7,0,6,0,1,26.701651,28.042328,0.444583,7.709154,2204,2915,5119
"184",184,"2011-07-03",3,0,7,0,0,0,2,25.683349,28.12595,0.6825,15.333486,2282,2367,4649
"185",185,"2011-07-04",3,0,7,1,1,0,2,26.153349,27.917522,0.637917,5.4591064,3065,2978,6043
"186",186,"2011-07-05",3,0,7,0,2,1,1,27.093349,29.958308,0.590417,8.459286,1031,3634,4665
"187",187,"2011-07-06",3,0,7,0,3,1,1,25.84,29.251778,0.743333,10.042161,784,3845,4629
"188",188,"2011-07-07",3,0,7,0,4,1,1,27.25,29.333486,0.65125,10.6664,754,3838,4592
"189",189,"2011-07-08",3,0,7,0,5,1,2,25.330849,28.251878,0.757917,15.083643,692,3348,4040
"190",190,"2011-07-09",3,0,7,0,6,0,1,26.466651,27.834428,0.609167,11.250104,1988,3348,5336
"191",191,"2011-07-10",3,0,7,0,0,0,1,27.1325,29.54165,0.578333,12.292557,1743,3138,4881
"192",192,"2011-07-11",3,0,7,0,1,1,1,27.8375,32.167064,0.635833,18.916579,723,3363,4086
"193",193,"2011-07-12",3,0,7,0,2,1,1,29.325849,32.79215,0.559167,13.417018,662,3596,4258
"194",194,"2011-07-13",3,0,7,0,3,1,1,27.093349,29.500664,0.631667,9.790911,748,3594,4342
"195",195,"2011-07-14",3,0,7,0,4,1,1,23.999151,25.916864,0.47625,16.124689,888,4196,5084
"196",196,"2011-07-15",3,0,7,0,5,1,1,23.176651,25.208486,0.59125,12.249811,1318,4220,5538
"197",197,"2011-07-16",3,0,7,0,6,0,1,24.273349,26.125358,0.585,13.958914,2418,3505,5923
"198",198,"2011-07-17",3,0,7,0,0,0,1,25.800849,28.208978,0.604167,16.417211,2006,3296,5302
"199",199,"2011-07-18",3,0,7,0,1,1,1,27.093349,30.45905,0.65125,14.458868,841,3617,4458
"200",200,"2011-07-19",3,0,7,0,2,1,1,28.503349,33.333614,0.650417,8.7502,752,3789,4541
"201",201,"2011-07-20",3,0,7,0,3,1,1,28.111651,33.2921,0.707083,7.625739,644,3688,4332
"202",202,"2011-07-21",3,0,7,0,4,1,2,30.305,38.540486,0.69125,14.875407,632,3152,3784
"203",203,"2011-07-22",3,0,7,0,5,1,1,31.871651,39.499136,0.580417,8.9177,562,2825,3387
"204",204,"2011-07-23",3,0,7,0,6,0,1,31.910849,37.082942,0.5,8.791807,987,2298,3285
"205",205,"2011-07-24",3,0,7,0,0,0,1,31.01,36.458714,0.550833,11.334457,1050,2556,3606
"206",206,"2011-07-25",3,0,7,0,1,1,1,26.936651,31.583228,0.757083,6.0841561,568,3272,3840
"207",207,"2011-07-26",3,0,7,0,2,1,1,28.268349,30.000614,0.540833,13.417286,750,3840,4590
"208",208,"2011-07-27",3,0,7,0,3,1,1,28.425,29.584022,0.402917,12.292021,755,3901,4656
"209",209,"2011-07-28",3,0,7,0,4,1,1,28.620849,32.8334,0.583333,11.958093,606,3784,4390
"210",210,"2011-07-29",3,0,7,0,5,1,1,31.401651,35.873822,0.5425,11.667246,670,3176,3846
"211",211,"2011-07-30",3,0,7,0,6,0,1,29.795849,32.083442,0.465833,11.291979,1559,2916,4475
"212",212,"2011-07-31",3,0,7,0,0,0,1,29.874151,32.166536,0.480833,11.042471,1524,2778,4302
"213",213,"2011-08-01",3,0,8,0,1,1,1,28.268349,30.417272,0.550833,10.500039,729,3537,4266
"214",214,"2011-08-02",3,0,8,0,2,1,1,28.816651,30.666686,0.49125,13.79195,801,4044,4845
"215",215,"2011-08-03",3,0,8,0,3,1,2,26.388349,28.875842,0.6575,9.084061,467,3107,3574
"216",216,"2011-08-04",3,0,8,0,4,1,2,25.37,27.876008,0.7575,13.20905,799,3777,4576
"217",217,"2011-08-05",3,0,8,0,5,1,1,25.409151,27.333422,0.630833,12.374632,1023,3843,4866
"218",218,"2011-08-06",3,0,8,0,6,0,2,25.683349,28.626164,0.755,15.29275,1521,2773,4294
"219",219,"2011-08-07",3,0,8,0,0,0,1,26.8975,31.209272,0.752917,13.499629,1298,2487,3785
"220",220,"2011-08-08",3,0,8,0,1,1,1,27.955,30.416678,0.592083,12.875725,846,3480,4326
"221",221,"2011-08-09",3,0,8,0,2,1,1,28.425,31.791986,0.570417,10.125107,907,3695,4602
"222",222,"2011-08-10",3,0,8,0,3,1,1,28.033349,29.208878,0.424167,13.417286,884,3896,4780
"223",223,"2011-08-11",3,0,8,0,4,1,1,25.7225,27.000386,0.42375,11.041332,812,3980,4792
"224",224,"2011-08-12",3,0,8,0,5,1,1,25.291651,27.166772,0.415,8.416607,1051,3854,4905
"225",225,"2011-08-13",3,0,8,0,6,0,2,24.234151,26.626628,0.729583,14.167418,1504,2646,4150
"226",226,"2011-08-14",3,0,8,0,0,0,2,23.803349,25.209608,0.8175,14.916411,1338,2482,3820
"227",227,"2011-08-15",3,0,8,0,1,1,1,23.294151,24.667022,0.712083,13.999918,775,3563,4338
"228",228,"2011-08-16",3,0,8,0,2,1,1,24.939151,26.625242,0.578333,15.834043,721,4004,4725
"229",229,"2011-08-17",3,0,8,0,3,1,1,25.996651,28.000286,0.575417,9.625689,668,4026,4694
"230",230,"2011-08-18",3,0,8,0,4,1,1,25.448349,27.709028,0.654583,15.624936,639,3166,3805
"231",231,"2011-08-19",3,0,8,0,5,1,2,24.195,25.792586,0.722917,9.333636,797,3356,4153
"232",232,"2011-08-20",3,0,8,0,6,0,1,24.7825,26.833736,0.674167,6.999289,1914,3277,5191
"233",233,"2011-08-21",3,0,8,0,0,0,1,25.409151,28.58465,0.77,16.666518,1249,2624,3873
"234",234,"2011-08-22",3,0,8,0,1,1,1,24.508349,26.124764,0.47,18.54225,833,3925,4758
"235",235,"2011-08-23",3,0,8,0,2,1,1,22.119151,24.000422,0.455417,9.833121,1281,4614,5895
"236",236,"2011-08-24",3,0,8,0,3,1,1,23.646651,25.625672,0.605,16.958236,949,4181,5130
"237",237,"2011-08-25",3,0,8,0,4,1,2,24.155849,26.626364,0.771667,14.125811,435,3107,3542
"238",238,"2011-08-26",3,0,8,0,5,1,1,24.9,27.542378,0.76125,5.6254875,768,3893,4661
"239",239,"2011-08-27",3,0,8,0,6,0,2,23.96,25.946696,0.85,25.166339,226,889,1115
"240",240,"2011-08-28",3,0,8,0,0,0,1,25.231773,26.765294,0.561765,20.412153,1415,2919,4334
"241",241,"2011-08-29",3,0,8,0,1,1,1,21.923349,24.125228,0.554583,10.708275,729,3905,4634
"242",242,"2011-08-30",3,0,8,0,2,1,1,22.040849,23.250464,0.548333,8.375536,775,4429,5204
"243",243,"2011-08-31",3,0,8,0,3,1,1,22.863349,24.333986,0.597917,5.5833311,688,4370,5058
"244",244,"2011-09-01",3,0,9,0,4,1,1,22.785,24.584786,0.639167,9.500332,783,4332,5115
"245",245,"2011-09-02",3,0,9,0,5,1,2,22.236651,23.917328,0.727083,9.375243,875,3852,4727
"246",246,"2011-09-03",3,0,9,0,6,0,1,23.450849,25.792058,0.716667,12.416775,1935,2549,4484
"247",247,"2011-09-04",3,0,9,0,0,0,1,25.330849,27.918314,0.742083,13.833289,2521,2419,4940
"248",248,"2011-09-05",3,0,9,1,1,0,2,23.646651,25.292636,0.790417,14.250632,1236,2115,3351
"249",249,"2011-09-06",3,0,9,0,2,1,3,17.38,18.0032,0.886957,23.044181,204,2506,2710
"250",250,"2011-09-07",3,0,9,0,3,1,3,20.160849,19.919114,0.917083,6.5003936,118,1878,1996
